,product id,category_bean bag,category_bookshelf,category_cabinet,category_chair,category_chair ,category_desk,category_lamp,category_night stand,category_ottoman,category_pouf,category_shoe cabinet,category_sofa,category_table,category_toilet,category_wardrobe,color_antiquewhite,color_black,color_blue,color_burlywood,color_darkbrown,color_darkgoldenrod,color_darkslategray,color_dimgray,color_gainsboro,color_gray,color_grey,color_lightgray,color_linen,color_peru,color_red,color_rosybrown,color_saddlebrown,color_seagreen,color_sienna,color_silver,color_tan,color_white,color_whitesmoke,color_yellow,material_ceramic,material_cloth,material_foam,material_glass,material_leather,material_metal,material_plastic,material_plastic ,material_velvet,material_wood,length,breadth,height,price
40,wa01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.16582491133472066,-0.181293803638667,-0.17876586942345565,1.2659885220667546
41,wa02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.16790645482494643,-0.1754214543553785,-0.191626193730218,3.4012769173940596
42,ca03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.16792958308594894,-0.18422997828031126,-0.18762694653726142,-0.5490066139614547
43,la06,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-0.1713525657143202,-0.1852976781500001,-0.1893521119930466,-1.1682402486063732
44,ch13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.170843743972265,-0.1842967095221668,-0.18997944488605942,0.19834432440310207
45,ta10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.16746701786589877,-0.17408682951826748,-0.18558811463496983,-0.5428142776150054
46,ch14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.1713756939753227,-0.1855646031174223,-0.19099886083720521,-1.1895931325596463
47,ch15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.1699879983151722,-0.1824282347502114,-0.18762694653726142,-0.250066238615632
48,ch16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.17089000049427003,-0.18422997828031126,-0.18927369538142003,-1.1895931325596463
49,ch17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.17093625701627504,-0.18409651579660016,-0.1859801976931028,0.11293278859000987
